S.No,Date,Time,Title,Download status,Publisher_info,pdf_link
21,10-08-2024,22:52:52,Summer Semester Practical Examination of the course code AEPH201 (Computational Physics Lab),0,"Published By: DR PARGIN BANGOTRA, ASSISTANT PROFESSOR, PHYSICS",https://www.imsnsit.org/imsnsit/plum_url.php?ylTZU8kxclZ44Uv1xY4C6nHZKeJhm8svI3xKxrHN3qYKOEmJcGVcTtvrq++p+jx5CAa6dmOGvzgjqIVBZP2YqXdFhjnq5QgIuhqZuditdd4YCV0l3Yc49VZhpH9EOVHQlIxfrKKxgUK6yZBwevw3MoxZLTlSbuWDq9e0+/FQTk47VWHaguLBbm+sd2wJyZKE0ot0rARp9arRarcsNfVGknZDbKvd2+Qsat1Hb+1yxNA=
22,09-08-2024,22:52:52,NOTIFICATION REGARDING STUDENT ARE ALLOW TO PAY THEIR ANNUAL FEE IN TWO INSTALLMENTS WITH FINE IN THE ACADEMIC SESSION 2024 - 2025,0,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?LOUOEP3AtQQUe5XxGmi4evMkMygPaY2H2Q69PUf1aRiumMAkRyaJlxnBP6GuHbG1yGjHGSWunuXkKucPd9SIxNjNrGO6BT8IZWWj6PXBQwEP8wCR33ZOQy6e43mmrE5N1wsyeUwZDRaVFDysSU5/VIhDK4SQZvtHUeK9IrflXc+zYidmSq3GgkK/7GC36042REA/+a/gtCJ9CMHWzEfr5Q==
23,08-08-2024,22:52:52,NCC RECRUITMENTS 2024,0,"Published By: Dr. SUMITA DAHIYA, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?d8IunHsBJB/Hvi2FikVjP/0jyE0cqrMOOjcv6gbsTOn48cIn9YRgt1rpeVjRGF3UoCleZtGAHXaCN3eG5dA7Hd3ORm3VTlVK7DIAUrTSw6+SbEEyd63ZS7a+ldPsJbTJUZhPtwhkKCgKdhKetjGP0/O1U1DQoxjQpq/FsnI+f3ducUvT5nT4Reqo/P7TgvqQ53h372RZYFfSOdQQD3YESA==
24,08-08-2024,22:52:52,"BRAIN 2024 CONFERENCE SCHEDULE AND ROLE OF MODERATORS AT DMS, NSUT",0,"Published By: SH HIMANSHU, ASSISTANT PROFESSOR, MANAGEMENT STUDIES",https://www.imsnsit.org/imsnsit/plum_url.php?FYlt+YlvOTfMKIpXIooVZNwB0RSWzX/GISC40h82rwtZjGkM7nPdfuSE2eVf/BMSAKmcCpuZen9GQgZTc+pnI4mPfm2uuAIrVY6ln7aAuLBHrE3HfEMboVgiuBQN4VkZay255F+pf49ctK8K8c3LkVcGGzQchDqBLIxVVTFxNaI2fGLhJqN7dUJ4QFs2bOMGG/+ZaoZAKG5IER2l7QdXSaslvB+C6RHqN0VQdhP9CzIsvU7mnk2hSfAGrL0awHC2
25,07-08-2024,22:52:52,CANCELLATION OF ADMISSION OF I SEMESTER YEAR BACK,0,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?WA/hnGHVKAGaqb4BH4GEg/OUhcwb5amPkCjucShXiznVhLBibe7n0Y63rEK1IE2zFNcpnGp8sTw4bX202BEko/4Frdu6bTnJvEVyVLUhlW/kJc93eLMCIcBU0vD0l5iY1BW9UyBVlS6itfFy+bwZwbYb0W1eCNJBQlE8Qh1uzXXenodSZc9SyU1+w6EhvJm0GWaTpIaP0TeLDdfOlyOYvw==
26,07-08-2024,22:52:52,ATTENDANCE DURING FIRST YEAR UG STUDENT INDUCTION/ORIENTATION PROGRAM,0,"Published By: Dr. SUJATA SENGAR, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?4ynx0oq0cPaAvbQSSaEZ1i5zFI5js4D1zYFZhWAUeqGS1tQCxl1U/wTCFClzFYZNz285qScqmFsNsA0RRm/B7ANtPJmpr9JixjAClyHuWmakxTMZBzt3h2a/iBN4q6xpCT/bRwWLt50cooBRHAEB+CROawsxnR1M13zlrBv+rWxx4vcctDii5Z1RJG6dVOQ92lQWTe5xQY1J3uZAHaCCwA==
27,07-08-2024,22:52:52,LAST MEETING FOR REDRESSAL OF COURSE REGISTRATION/RE-REGISTRATION ISSUES OF ALL SEMESTERS OF ALL PROGRAMMES,0,"Published By: Dr. SUJATA SENGAR, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?V5egnQwwjuTZJWyii3r8glnazgaj6QICyfocEmZmnGIJ6N1ksXLCkgfvhJOrEyC1CCaVIeUDout1QWZg1Bno9B0B+mrjYuYmIcDn8GFQ4HhkmczSXhQBhP4Pka2gge37r4+b9DA2yt01DEvY9b4dTRSZZM2Gqo4zVMURCwFTgBahrDGMrv2JiK4PCDroT0L5YQ+XCid1os2Iso1woNTkHWjpMuIvTlReSrQWeu9Yib8=
28,06-08-2024,22:52:52,Timetable for M.Sc.(Mathematics) Semester-III for 2024,0,"Published By: Dr. DEEPIKA SINGH, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?XlcJA0dMTZ6/+5hgbnVP4JTvLrtj+oUSYrobVmL9+CnBrFM8iUNMW+aOM7PZpIWL+jMC56QPqLc/3suzSyKZpW6IQjUKf3O+AHDjphKUKoVVoSizykmi7DdTd/FbQBNtvYIDASKtxLsLvWvTCojcau02blYgBtvEShx9prirEVDkpu7x9d9qkOgTymVQG8keBydynVwlUv4eom761xWuEw==
29,06-08-2024,22:52:52,"Induction Program for newly admitted B.Tech. students, East Campus",0,"Published By: Mr SHANTANU DAS, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?cWC9HEVdTGeiYhwAMXkOVaLaVF4iXhs5Gg4HYTZhnpYPMA9Hg6sA4x7IS+6at2r9UAS4ulu0TCxuc132XO7qdgzEPZizGtj7zxiv3Z6oAfITDCofK0kApFVA6XKAoec4aUAIPqMBGYzOvSP2OIhpKk8OeLSzSvMaXjdlIM7Oc0zVpq5s8zJ9mNYOcksPONj9LAThfpiZaoPFtTjHB2Vaqw==
30,06-08-2024,22:52:52,"Schedule and Seating arrangement for the induction program for newly admitted students of the departments of Civil, Mechanical (EV), Geoinformatics, and Architecture & Planning, NSUT, West campus.",0,"PUNIT, JUNIOR MECHANIC, WEST CAMPUS",https://www.imsnsit.org/imsnsit/plum_url.php?nzJXVA+6ha9LOlK1s+NepyOJYO2jUXdGoMVX/D2ekkJykHniKX7rRgBEsrx0HYh85eMvrCdaIpRM4F4qdSebmqqu3nKs7tGjL7Mma63SuKI0Lcn0AN3zcRAdaV+r85qfnaYc8ER5l1Hf4fc0r3LR1PxzqHpzdf3yKj6IoSVHyl+pk/zNOVp49MlgIkaHnvMQFha+8QIBBk1v3Fiyf4PztdT8CYyz+p0aw41ABZwKKsM9xDfPcZB5moMc/ynkHtQf5ezbZ+9w5Dag44hgFtRp1A==
