S.No,Date,Time,Title,Processed_status,Publisher_info,pdf_link
25,7/8/2024,0:10:15,CANCELLATION OF ADMISSION OF I SEMESTER YEAR BACK,0,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?OSClSI1n8rXzGce/MZf3Tu93s9hdS8LPWYbARBDzJr1Adol36LRuF/j/Fsc9njXlbElr7HILkGMGdXu3qAtWr1UxWAbyKAYidWrDdd2zjTav5ATc0M2+N9kFeMS3vc+cu5C9zlUSdftx77Nr+OhXX/QKab3eLXauDGqR+9gdYuw2NLKvL59DPsNGTPXyED0BWujDEXtrVUHEmWksiyyXlA==
26,7/8/2024,0:10:15,ATTENDANCE DURING FIRST YEAR UG STUDENT INDUCTION/ORIENTATION PROGRAM,0,"Published By: Dr. SUJATA SENGAR, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?kxwAEACXZIjafjLhb7ZfudcGFh27uDGBbuoETycRHSH9d1ppY6xmxgJjY/wZ5d1R3SmQJ3mkZJKYdns2l1WlWjw78f6POjuM1Te9xKeIwS+Uoy3rpGxyfH0mLMMnRsUmcM06ACp2bjUUFk+3ZB1qjCgNX43NtjM9OUEwjyTDgmuBgcnvTjl6VCclY1Od9MG67dwQphFXiWEgHHhzN5y3XQ==
27,7/8/2024,0:10:15,LAST MEETING FOR REDRESSAL OF COURSE REGISTRATION/RE-REGISTRATION ISSUES OF ALL SEMESTERS OF ALL PROGRAMMES,0,"Published By: Dr. SUJATA SENGAR, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?YCvSbt0rrvz3LWyHTWnpsYWJBQkLkujOTqq9XKRCbEIJCk9+xApsgTYkIYZwitCKOBt0t9kyUETFPgQ6cDpzwm7z8Ky9UwTTkWhL7PhdlmSHmZzUiqHFIkmOYYgs8mr7VSWVcKidm9EBTy0BN6FaxPG4+WqMecXmy1IXmeTxAfL2voQk92VXG1Ufse3S3a+phHeV//xw0tOcgvj2XQtfz9T8T0V5EROhXoqJhNHPyT4=
28,6/8/2024,0:10:15,Timetable for M.Sc.(Mathematics) Semester-III for 2024,0,"Published By: Dr. DEEPIKA SINGH, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?avz/c0gLtkfo7X9BmJ6dltNXmW+AoLZ+jP494FYAUGSPXfffMPzC6eEQb9PsBAGvFASQEhye4nPbiITIVnowPIW9VAbLDcRyTXf7xhU5DPGb6CK0JvZ541HnG2C4AwhoghueyabZxsCE45TXJqz/ikbBdIdtw8y+EuCmfrHBGeRzMaBZlWWLHUWailYmPRScz9rn1+bSuQ5vTMkYsVUuRw==
29,6/8/2024,0:10:15,"Induction Program for newly admitted B.Tech. students, East Campus",0,"Published By: Mr SHANTANU DAS, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?dONbPMs8OzFPRfSqIkFtb4ZMvu+K81phyPNReFUq+aKaSIDlmJUD2JdmBck0pNawXT1VKG8CQkQHwGOCnoNdCjvEydhdgbROVpGRGvXEItjHPmZZBsDXS6t2B0eTaICuJiYXhKFklPH4BVWI5ub9ETZAwZtGvYvckZrxSbihUTjH54YO3of9/wFbAimhNANes+qXtH2VjuTGn08NNq2z8A==
30,6/8/2024,0:10:15,"Schedule and Seating arrangement for the induction program for newly admitted students of the departments of Civil, Mechanical (EV), Geoinformatics, and Architecture & Planning, NSUT, West campus.",0,"PUNIT, JUNIOR MECHANIC, WEST CAMPUS",https://www.imsnsit.org/imsnsit/plum_url.php?49bk5b4nS2zl9f6cPShDdqtmYirJdw4DtCSdDjg+cL/6OnfW2WGOJ/H5pT6r6ps11TbwgEFaJbz6BDQuQOn50R+OyMxNnJOlpkkuaPr9Y+E8KhlKxtltAC5+D0MRcTUL6m8oJpGOqrK/QXyKwgrLG3wByyKMZbFv04/zVKEhEnW2sYklERCXy8miYwMGUWCuY19DgUGzrXNSsSOi7xvpuWD9nXd5vKrYGcR0kPovGt0h7kr0SI6b07OhVycfQnGhSum2ibIcXmshQdd/VoA5hQ==
31,6/8/2024,0:10:15,URGENT NOTIFICATION FOR COMPLETION OF REGISTRATION PROCESS,0,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?NZKdbQ6dNvZPa12QDzmOAFV6Vw8fS/l96FWqwS3akoRKgN4hGK2gLT168zdefEGi0GyHbBKBodiV6VeEuwkaa7/uB4B8AI3TWpjs3XqI1IR+qW6QaOTDXjWuxibhEAG4Ta/Piome+0OlOOGsky0/7IdqRjnGW9sDpGTRlsIWlIjxXzEywTIZt8F97/iXqAWnG3EiSXpCyX1p77lElTtM5Q==
32,6/8/2024,0:10:15,Timetable for M.Sc.(Mathematics) Semester-I for 2024,0,"BHAWNA GUPTA, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?awnCDUPpH/IOtk4WOuWABZ+zI0K+xdyrTTN4UROQcqYwVNdIdUvG0ZERBWhXC19q3l8wi+SgREgVqWekkIVY1fNhKMvpmzRGYD8Waxcqv1eykCUBE3JiVBQqSmq54Bf+5xP9ccgGsbGJm/d1E1ZeI9GZcFgth04gzgFgCIRi8QLZM953fubdv0zn7ElNg4qceLbnbD5mpSPDtGNv+fV/wDLxwoJHR02pjtcXJoW2oeY=
33,6/8/2024,0:10:15,B.Tech Project guidelines for ECAM students-East Campus,0,"C.S.VINITHA, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING(EAST)",https://www.imsnsit.org/imsnsit/plum_url.php?/9zkqlvcJivD+lXuRZxJn2JNOUtK6VUcB/EaMmZGMyiwls6Y7xAiHFcG6vP2hG4GqVEn+KWmqFVWYzkTS7Z/HJRB5VbsxNfK2bXKty0VHI89mvE/LzlVz6A4X/ilJ3vHyQEv0fwtRNR1Mm75qQ3Vs3JXiqZioRf9iZQEpl/Yma2u+A1mYQQ/NVmN46sLosFFQWNYnb51du1ieYbIh5hHJA==
34,6/8/2024,0:10:15,1st Year Allotment Notice Saraswati and Alaknanda hostel,0,"GURCHARAN KAUR, HEAD CLERK, HOSTEL",https://www.imsnsit.org/imsnsit/plum_url.php?aw/Kq5FFF+csraQ4q5na5ofrtWQfVA0+xq/5NRDvLH0n4Noyp34G4I/HUVNdm5HvJZG+uvrU3SHdnzlHQx/Dmft+A9qVGuNSeHNcD7CQXamzM2RslhGfl9z7lstCe1yR1juh38DcpOpMuolz5WBacDk9oGmb52dKdjQc9cGchvvPKVxl6pK/lYfT4CEGsxyaJcyTi5tqU4saoQB1lU376A==
35,6/8/2024,0:10:15,"B.E. consolidated result for NSIT students which is declared by University of Delhi on 5th August, 2024",0,"LAMBODAR MISHRA, DATA PROCESSOR, EXAMINATION SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?zZWxkn75hEpL/S7QRcDI79fHxM2rGcgHUPe6Q7FI9Ug0WFDEoQnwqtDmUiF41dEsV6CnOVVk5h/SyHZd6twXGmH6mJDmFQO61PMuLrxgnroXxM8Ms7WeGBwmIc5KJ2QBymcB1yg7JLo+uG5o4Z7Vt+YMZXUhU7bBr828kpY1jPqQygNyWvGFZVQ2OTB1VS/iqik3yZZXTBB0IsjOSoB7nw==
36,6/8/2024,0:10:15,B.Tech. (ME/MPAE) 7th Semester – Project I (MEMEC22/MPMEC22): Submission of Consent Form 2024-25,0,"VINAY PANWAR, ASSISTANT PROFESSOR, MECHANICAL ENGINEERING",https://www.imsnsit.org/imsnsit/plum_url.php?PiRyju5xN5ScitL8e6eBLbFVR/Ru0gZwMcbrbZO+FwzXzSnCcNYrxGyatUVOi3BObE6f0KUHL37L82Jwvne+/olw5PKWtrJfYpPuxXDsvDTlj6+oJscB+fbkXrbpS3CqYJivcatO6ukUcN72Dx82LVzMsF/TvtNlPzrKDyhWhBLEiZfe9iU/svn058ilbZLcu1zuCKkgXon9GSPWZ+oNty27LjLToqXJbh1nOaVCWBo=
37,5/8/2024,0:10:15,"Invitation to Orientation cum Induction Program for newly admitted students for AY 2024-25 at NSUT, West Campus.",0,"PUNIT, JUNIOR MECHANIC, WEST CAMPUS",https://www.imsnsit.org/imsnsit/plum_url.php?qi2YYjVyVjYkP70a7PF9qm23FtZU47buRx4fXNOvfCei2FQcyKSvhWL7XMsnOF8Xej9/pQCmMaEsS0oA9a1fulmjY4rkXCtuqt74vwVvNZ24gJUqZAXh6bVgYGf9LqyszLG05W7StknpOEg/DVuNy4XbgqozKI7Vrxr8jv0ePdmOGzGHT5Xxe8HCfiRL2wU+ceb+S2bfPBSK2CG4gzcc9oo5/+RVFp+4l9KwA778FcjJf5EV4UYr5hxIFafI1UYrithKumxd70X7yjnEP3YtF7Ita377Lhpi0x8o41U1q6Q71yhHDL2XycCtuvDigCGc
38,5/8/2024,0:10:15,"Orientation Schedule for West Campus, 06.08.2024",0,"NEHA GUPTA, ASSOCIATE PROFESSOR, ARCHITECTURE AND PLANNING",https://www.imsnsit.org/imsnsit/plum_url.php?wbQTgThN/3r50Md6DOZohflHFDYFWCG+O6RPGzIpLqNO3Z8Hpe82Lo+KkRHScw0lM52aGZunNxsz7wLUNOrgviiS6vmStCqlrwiXYgWzr5OBCapVLokDFsWAygfrrLyNacBLjyFJDImWHMISLxXe3e18ltjFNIqUdc8ICCSHOwqoD6UkvIE2wJnBwK1KC/CYV15dPmLz4ViHqSGtLTkM4Z6i/BNLe9JeSlxRKEZUCaQ=
39,5/8/2024,0:10:15,UTA notice for Mtech Bioinformatics - 1st and 3rd semester,0,"Published By: Dr. AKHILESH DUBEY, COORDINATOR, BIOLOGICAL SCIENCES AND ENGINEERING",https://www.imsnsit.org/imsnsit/plum_url.php?wnw+ux2OTZPCSiO2M3xtrH066DpJmGaNOeYAWJ/eHzhosLSFKcxNH0UqE2z9wBpsql4OfuKRjNokCKG4UeuGwW7D8Au9WPMikreiC8DREDZSDb0g93woK/galki5Mm7+8Mp7PgCMDeRskaJi8f3vrwyTJ8c04+tsgSbNYb4PzuB5ElO6eIQ6qvWAqaJc0Sv/
40,4/8/2024,0:10:15,ATTENDANCE GUIDELINES ODD SEM 2024-25,0,"Published By: Dr. SUJATA SENGAR, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?EBepZzrGiNCHIcPWtkecpOGUGIMEqAd9n9Evhbx5DzHaJvFCXCxuMoHku2P2zyC6P+fK2TPfvefEhonak+BlOym0ccXln2wcCX9MAzUd7OdRQGdZPo4BRKCK/enyX1PM+HwodlPVpm45/I43ZRbydFwDqkufC5esL0NY7Zw3Adgpq7KeFKsbr/Aa2elkLhhu+gG0AamIY0mve5ICJPRy2R93y5nU6NKmDvYLZHruPzbNYNJyJ95s59vtB2lX/Ba+
41,4/8/2024,0:10:15,B.Tech Time Table (Physics)  of Main Campus (2024-2025) for odd term,0,"Published By: DR PARGIN BANGOTRA, ASSISTANT PROFESSOR, PHYSICS",https://www.imsnsit.org/imsnsit/plum_url.php?3zpGJh+V96oFQzwTf8e+Z52HJFvScGjN+RXSQonK6T94JpbZpbDJ8nGcBMpnkg9oE28/8l2X5SHl6hc6IE4mrxKrYQ2Wu71g9LVB6qth2j75/XAFNf2hWXiM37HxRch+5nq/ec8hcbOMD7lPCnYDx504YYxlJ/U6fzTb0NsG8NXlf5433ZhPXIaJf7r1xR+P4x+k9XqRKQ7Mq55UYpYtGonTYZ8/+Sk3jFXg7p6poIY=
