S.No,Date,Time,Title,Processed_status,Publisher_info,pdf_link
22,09-08-2024,01:22:37,NOTIFICATION REGARDING STUDENT ARE ALLOW TO PAY THEIR ANNUAL FEE IN TWO INSTALLMENTS WITH FINE IN THE ACADEMIC SESSION 2024 - 2025,1,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?m20QL6A0sUz5LPJBtVRcGQc/dWPLr9LGsCA1b4rb20gOUUZFiYgGoqXSqDwrVDNFoVh6nDLtJ9o8WfRyQw4NGgW7ED3DLtMg0EIOkA4r0AVhffvI/yBb8IA8ZuccrdXSYG9PyPP0aMSejQQ/VbNkljL7rjGU/2JWCGXqAigcJeeQLgk7iP6u2lrTIFANuagLwN40LucN9Ud2qRVMhcIAzw==
23,08-08-2024,01:22:37,NCC RECRUITMENTS 2024,1,"Published By: Dr. SUMITA DAHIYA, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?DY+OXelUy+D8U75i6IFJM+ZnLUKDduyOtPkH4QeZJEadbykyZ0Wr6dmaDbV9FLfkVedSTnwUsIQO4jDvxNc3xNffHOeZrnT5hPjghPjnhOIaj4jFWKMhtJ5cHGDLyHD+d6LCtF47TNMSTmQqp3d/lTV9uQ00rY56V2TcOq4L0LZH5ALZcgXPS+eU5Z436pr9MQTlNzomYV+bSJKv7dHxxw==
24,08-08-2024,01:22:37,"BRAIN 2024 CONFERENCE SCHEDULE AND ROLE OF MODERATORS AT DMS, NSUT",1,"Published By: SH HIMANSHU, ASSISTANT PROFESSOR, MANAGEMENT STUDIES",https://www.imsnsit.org/imsnsit/plum_url.php?isJEZKE8DWldEaxTMr/bl7hUECxSrQEGT6VFzgFClG8CEZSG8Xq7TlogJWaldVhdZjdmzY/z/i037VFEVJqAwjBvD9zbr/Yu4dUB+bTdwMsUTAY9Xp6UbvrZ4UVRLqxLlJMYj7H5hk4VyKqYABZ5ydSnFJ27yi5ThRd63+4faWc/C+eJbzNlChiTBdGHZFdG9yXfVwiGcUK6nYkKBQ08tWm/WjdFPbvxYU5C6p/wFPHAbtP1AHBVFgqQUhYO1Cz2
25,07-08-2024,01:22:37,CANCELLATION OF ADMISSION OF I SEMESTER YEAR BACK,1,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?H3bd1TOtyur4RTDDcf0qg2rGaSdyaWcMuWmrgAXrEGCvcdaiE3a7GzMdecjz68aDsRSUa8tv3qWcQ6RYU6nqYEdJhWHI6yPFjjqMd/2qZh0c7juqYLe9jqyGqs0SAg1UUMjkmsoBCqDoc4yfWTZfPnZAn5SrSLFrwvt9hCg/qR2JnWtD9KlThBe2IY4VqP4brErfuC1AiCEnO9i4MNHvaw==
26,07-08-2024,01:22:37,ATTENDANCE DURING FIRST YEAR UG STUDENT INDUCTION/ORIENTATION PROGRAM,1,"Published By: Dr. SUJATA SENGAR, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?UMiRzGb2Yk3nOdJJjBJAWT0h0Nk1mmAXvTZoETxN1X/r7YQmC+b+Le+jPGlxVCJ+cZl4361/VI5oXyv9/hE2DVH4vgAILMvoGK9GaNwh5CwethqC5b+Svc4ZpTZvKHwU2qZyhPGiiRspa/w7utesUAud/GEgakOrsNHTUgbRFr4KBXtrYzrB2j+VJHugVUJpwH4KgqkvSTtpAY85Wgl6iQ==
27,07-08-2024,01:22:37,LAST MEETING FOR REDRESSAL OF COURSE REGISTRATION/RE-REGISTRATION ISSUES OF ALL SEMESTERS OF ALL PROGRAMMES,1,"Published By: Dr. SUJATA SENGAR, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?TLoaXdV8fGHSsYASOkKJfFlM074qLdxPlef8dDFx9WiixXTFGETGmjqnWdp+u4yz/Go7ZfeNs2Hv7l7Y+S1/zj2aRZU5WO9Fv6L0dLPV1aJnZnU+Lw4KG7wLy03fbzqCg7iRhTtEVXL1oXVTOpxXgz2+ZVuxOkawBAfEtqrJhGGD2cb3KyQXheqtpi7vRh8Dp2VpL7h1/DgMAOJ88v1cZzsqNdZU+OTJRe8LY39HivM=
28,06-08-2024,01:22:37,Timetable for M.Sc.(Mathematics) Semester-III for 2024,1,"Published By: Dr. DEEPIKA SINGH, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?Qv/n6fsMusyN9fOkr9sZgfmEhVdFCo017w8Y6eMd5M5FUbWJzor9ngutjgS4BI8gCEuQwRHk8DBV2RL/vd6bW9qvRud31jjMBJVQDaf8V7MfCjgAs2wztVw0/7zvY1HKgqoAZDLkLVsRlQVdYd7LTcAAihmA3xghGqskb3ZbuUm0CzWFVgbzSvWFgSva3nUrelTMf61A+gdYDpTccExz7Q==
29,06-08-2024,01:22:37,"Induction Program for newly admitted B.Tech. students, East Campus",1,"Published By: Mr SHANTANU DAS, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?8P5YlOqCXlGAgkurEaC1FS7k53Z7Ja8/exVqx4NjUSDnqx89hkS87UjKEJzsMVF9fu3Wr6JiqqIcmko+kot1Pg6MRZH1nrUPYUdh+M6/uSkYLOgx/d6CKhhXn5rYMeCCLRvL5uEdrmc/m+SB7Tg5wmW8pwDKH/NHkTHtXsNEze8EcwAMMDmq8xrd9k58SIiXUkTZox6BJhlmH2xCbzOJbQ==
30,06-08-2024,01:22:37,"Schedule and Seating arrangement for the induction program for newly admitted students of the departments of Civil, Mechanical (EV), Geoinformatics, and Architecture & Planning, NSUT, West campus.",1,"PUNIT, JUNIOR MECHANIC, WEST CAMPUS",https://www.imsnsit.org/imsnsit/plum_url.php?5o9JK8TnpiErPflVI21fGpWi06GXYvTqQaR8rrAmm3IR/VDg2V6YKWS4MUzddwdzWypWP2LJFDFRk1WuB0drSUZJHy2A8f0/slzmdJt6HMf3Gi1Ttgl8psdcZ9aUzFfSBw6NKsw2VCyACP3zY6yWimg5LYS2YgnJIIJWW4iYl7BXlxvGw+H2SIxn+R3buPkOj5jCnyMTkPLRYx/5RFp1bJJIub3w5pfKAfAjAraC5hplciBizwUhOqR5zWtq0/ovpI0SYRV8otK0kMPd2xGMFg==
31,06-08-2024,01:22:37,URGENT NOTIFICATION FOR COMPLETION OF REGISTRATION PROCESS,1,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?ZetaS+pA+NIG4NyPh9/CnKpfoGZbsaVPSUp+YnQNLP1ieHd1PU6ws+j3bnLE9Nq2xjo4iEY6Jp8RQ/hYf9FUup4lZgO1sTx8yHzSWxpoky6X6gkOlhJ0RRPC/o24I/fPMWKybd8duABoVZ0V9Y1/8R2ZdHj8ZXxZeHC2eJqMge48dz2OfGJ7QhT8NYJVNXDSpyVP45mQxzAespoJjUHvpQ==
32,06-08-2024,01:22:37,Timetable for M.Sc.(Mathematics) Semester-I for 2024,1,"BHAWNA GUPTA, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?D6s1d7oSnyyLCbkBzArkmPhD+jCDBF1qSh1hYmmZY+u2CUlFkPhSqB2jvlhRGz+hym68Pqh2LJSeEj7td+tAw5crsvB7FcSEzYTN/xS+Sbgp1dAay9JxNaFWTimHh9cZmBqChCnn5jpcOAP+yzzbV3RGLvDRbFTY7BmPDywZ5AaeYfVJmf9IRcle8AJ08G+INWs0SM7epLuOGxx/eg0C9h5YONmC8V9H06BZcJxY3po=
33,06-08-2024,01:22:37,B.Tech Project guidelines for ECAM students-East Campus,1,"C.S.VINITHA, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING(EAST)",https://www.imsnsit.org/imsnsit/plum_url.php?GOJHoq82AT4YaWmNUAFzChce0Bua3P1sythUfsA5JsQLknis2Tse0fJ8hlv76CnfWnV7lTjW7s9gJr4/PA6Mte8Al+D2Tgit1sJv0jhsH6XHZWZNjRhOA393kek0HH+ibSDiWhaljOXpFHU5Fn0Q4DTWTc9UptrgO7aXMG6ltifwcnOQd7QIL0Vtqyssz8rwLS2CFRSfV3mEmMF3bu7NqA==
34,06-08-2024,01:22:37,1st Year Allotment Notice Saraswati and Alaknanda hostel,1,"GURCHARAN KAUR, HEAD CLERK, HOSTEL",https://www.imsnsit.org/imsnsit/plum_url.php?wlHPH5EToYCkPdxgqWRrWOwj33GTIPzIO8cl8j8fBHuQXuwLb46yanV9l5FM0lcN62iOkf2xanElhzTKdmmlVVZKiD7XzNs4cUAPzrfKqbSvvtP0Fs1hQsohDGD3/DyKkdOgEVKwZR6Pjd3DbvxAew7lbv717FMr7eK723stonjQn/YUf1drnHsjIEYzam3OFfvJwbUlN/BkA6gZLP5vOw==
35,06-08-2024,01:22:37,"B.E. consolidated result for NSIT students which is declared by University of Delhi on 5th August, 2024",1,"LAMBODAR MISHRA, DATA PROCESSOR, EXAMINATION SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?YgyPl9HLRjL9rEebMTop6rCet1hXWOyLihsGrsOrGb6lGMviMIXpVFehLzGNSEhiuuY9YuYamhDx0keY37FkHqmh4Og04pwo1UPA/2FXFpr0+73sITkVmppLFIIgMsgaVn3ZeJfE7kVhChqONhqB9TYFK4AUCCMChzz7baqrwNz+VCSHlwf1dYXsKAteCrly7c5+gmjvCB9dWSncihQjlg==
36,06-08-2024,01:22:37,B.Tech. (ME/MPAE) 7th Semester – Project I (MEMEC22/MPMEC22): Submission of Consent Form 2024-25,1,"VINAY PANWAR, ASSISTANT PROFESSOR, MECHANICAL ENGINEERING",https://www.imsnsit.org/imsnsit/plum_url.php?NaLgW5Aleh/OFZVY4icEq0gasmdvrWwayZN12CQkMPjYCD3ajLjvP7u5ycqJO7ICgEa5RMydXYfFHNkD0Ig9IZUoloMuIyq38uxUJphkRTnU57vBUCD2vb+Xs4ye3KVtS6xw4qtGjemrDPVNDFC10TbKCo6HzEBSUu8pCMaEKD7N26N0r11wsBf3VYPT0xlp2DtQcDv6g8al3u/RXDiQpAnrz4QgC7VmcRQlBmaiHRY=
37,05-08-2024,01:22:37,"Invitation to Orientation cum Induction Program for newly admitted students for AY 2024-25 at NSUT, West Campus.",1,"PUNIT, JUNIOR MECHANIC, WEST CAMPUS",https://www.imsnsit.org/imsnsit/plum_url.php?BuxyqFGsnGp08DRKHrkjzoyKAihZlCgIob7y3hrJQHBtd5+Q+mDjQeg8a5p/ftj5v+WWYUEmuFmJ2QgGdDxRGBUR3jRVcmI5ShLYnbfPbxwHXj8r03ZpAnr19J5i897lbiy50rFnur1lp39sZYiflKyYr2jXBx7ht0Oh6Y5jDVryFvNmGVj9WSiTjjpojcBp6YcswQ9zoD8ZZCE7xykToBiGVldEPReBx3Tg8IobcXAvggBD7LBhUwIi+lqLClE5N8BBGYUoJP99mQfbStq0ZyDhXYEcI4fgrovmbiMEAozpfCnV2ZhBFmtfd8C7IN8M
38,05-08-2024,01:22:37,"Orientation Schedule for West Campus, 06.08.2024",1,"NEHA GUPTA, ASSOCIATE PROFESSOR, ARCHITECTURE AND PLANNING",https://www.imsnsit.org/imsnsit/plum_url.php?jn/zRIjazP5cmnw+/GR9BjV3dXaJ3lcMUXvpGkh4D/ayrZCE87iR1/6UX/uWwf7GAk86Tm2zmr4kqokll4sT8dLrmwaMVtzur9kkqmKDLxq+ctDZAK3gONE+5JOcBviV+eo1ZwDOoiMcinCsaG0SF/nD7rhxrAE2NGFqUtxdHYO6VhTB4BcQn39cUSvyZ6J4dHfMEleHbqX6XMGcMnQmVNhK+1uIZzi5vvg92NZzEoQ=
39,05-08-2024,01:22:37,UTA notice for Mtech Bioinformatics - 1st and 3rd semester,1,"Published By: Dr. AKHILESH DUBEY, COORDINATOR, BIOLOGICAL SCIENCES AND ENGINEERING",https://www.imsnsit.org/imsnsit/plum_url.php?ByINRSk8lO4bq3o81lyTekmJ/AAE2di8n/wxnkS4WvEquzYgUUf6aVPhSdmmQAWUzKmPHlbPZUOCZadu7L8reorSctpPwV0pTrsVf+euPNIkZYk5EmgpbmHyb00H9habYdI1xx9dLpUujzDRV64DwKP25/WmicCwq+uKGgM4c7GeBymZiJBTSRq6bWFKGzsM
40,04-08-2024,01:22:37,ATTENDANCE GUIDELINES ODD SEM 2024-25,1,"Published By: Dr. SUJATA SENGAR, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?hJ567TjspULzYjgSED4dcob2j5pOST2iBp5Ut8PmBQVadhuA4IxD2sBEwTFUb0iZCapYcpNqJHiMZajCxdkeqgEYnC7AQbL7PHfOkAsEGT137quYifPcfgrk89LV/37IvIvGVOmwqrcrsvZnjvyT8ZxodQAk7nojyiaT3qMZZKDiwUbH7UZs+zxjobttnkJX0j997j5Ak7FdNMGf1Yza+6POWMno8SEeB8jEYPMmbIwKSJAf4o9j++4U7d/7sG9U
41,04-08-2024,01:22:37,B.Tech Time Table (Physics)  of Main Campus (2024-2025) for odd term,1,"Published By: DR PARGIN BANGOTRA, ASSISTANT PROFESSOR, PHYSICS",https://www.imsnsit.org/imsnsit/plum_url.php?VfZsK2OjCSdf+D1Cqtc+FYEUULHu5mpwG9TuHtk4T7rHGBuj7/k/3ys6HJxDh2wHAYAfg/flc50izcXKj26f69YxkKpNH3P55eJUEAQDR54D/Nh8cjuLF3/WdF912YbolQCtdj2bI8pTsSW58mIR7X77SSZ4QXxohGmWrrCb9ouAECup97nWUxsEeqk79H+sUIlhZq7VZ7tx0+EUd6r8GnkA7a8qMM85JyL1qUzd4fI=
